attendance_binary,previous_attendance,previous_away_team_errors,previous_away_team_hits,previous_away_team_runs,game_type,previous_game_type,previous_home_team_errors,previous_home_team_hits,previous_home_team_runs,game_day,previous_game_day,temperature,wind_speed,sky,previous_game_duration,previous_homewin
0,16938,0,8,4,Day Game,Night Game,1,12,11,Wednesday,Tuesday,80,9,Cloudy,3.133333333,1
1,45373,0,9,4,Day Game,Night Game,1,6,1,Wednesday,Tuesday,77,4,Sunny,3.283333333,0
0,21553,1,7,2,Night Game,Night Game,1,7,5,Wednesday,Tuesday,73,0,In Dome,2.566666667,1
0,19448,0,4,1,Day Game,Night Game,0,13,12,Wednesday,Tuesday,84,14,Unknown,3.083333333,1
1,41310,0,10,9,Day Game,Day Game,2,7,5,Wednesday,Tuesday,85,7,Sunny,3.133333333,0
0,20773,0,20,9,Night Game,Night Game,2,6,0,Wednesday,Tuesday,88,10,Unknown,3.116666667,0
1,35964,0,11,7,Night Game,Night Game,0,11,2,Wednesday,Tuesday,82,7,Cloudy,3.35,0
0,14110,0,12,5,Night Game,Night Game,0,10,7,Wednesday,Tuesday,79,0,In Dome,2.866666667,1
0,29174,1,5,1,Night Game,Day Game,1,2,0,Tuesday,Monday,89,7,Cloudy,3.016666667,0
1,36438,0,4,2,Night Game,Night Game,0,6,6,Tuesday,Monday,86,15,Unknown,2.166666667,1
0,14532,0,8,2,Night Game,Day Game,1,7,4,Tuesday,Monday,72,0,In Dome,3.2,1
1,41850,0,11,4,Night Game,Day Game,1,10,2,Tuesday,Monday,90,6,Sunny,2.9,0
1,44317,2,10,9,Day Game,Night Game,2,9,5,Saturday,Friday,91,7,Unknown,3.45,0
1,36982,1,4,1,Night Game,Night Game,0,7,5,Saturday,Friday,76,9,Unknown,2.716666667,1
0,17672,0,7,4,Night Game,Night Game,0,9,3,Saturday,Friday,72,0,In Dome,3,0
1,42034,0,13,7,Night Game,Night Game,1,10,6,Saturday,Friday,86,8,Sunny,3.4,0
1,29217,0,11,7,Day Game,Night Game,0,8,3,Saturday,Friday,68,1,Unknown,2.9,0
1,38522,1,5,1,Night Game,Night Game,0,7,4,Saturday,Friday,74,9,Sunny,2.65,1
1,28076,1,9,5,Night Game,Night Game,0,5,3,Saturday,Friday,81,7,Unknown,3.166666667,0
0,19192,0,7,7,Day Game,Night Game,1,12,8,Saturday,Friday,69,7,Sunny,3.15,1
1,47439,0,8,5,Day Game,Night Game,0,4,3,Saturday,Friday,88,5,Cloudy,3.083333333,0
0,27074,0,8,5,Night Game,Night Game,1,4,2,Saturday,Friday,78,13,Cloudy,2.9,0
1,37447,2,5,2,Night Game,Night Game,1,8,4,Saturday,Friday,72,6,Unknown,2.95,1
1,30680,1,9,4,Night Game,Night Game,1,9,5,Saturday,Friday,81,8,Sunny,3.233333333,1
1,41482,2,5,0,Day Game,Day Game,0,7,6,Saturday,Friday,70,10,Sunny,2.733333333,1
1,38042,0,7,3,Night Game,Night Game,0,10,7,Tuesday,Monday,91,6,Cloudy,2.85,1
